Greedy	Dynamic
416	430	Dynamic
593	602	Dynamic
212	212	Both
181	181	Both
315	315	Both
632	660	Dynamic
395	395	Both
286	286	Both
600	602	Dynamic
220	220	Both
536	536	Both
471	471	Both
212	215	Dynamic
156	156	Both
230	230	Both
544	556	Dynamic
285	285	Both
131	131	Both
347	347	Both
129	163	Dynamic
310	313	Dynamic
352	352	Both
521	521	Both
291	291	Both
63	63	Both
425	425	Both
402	402	Both
530	538	Dynamic
276	276	Both
302	302	Both
337	337	Both
183	183	Both
40	92	Dynamic
95	95	Both
311	332	Dynamic
80	80	Both
466	466	Both
193	193	Both
599	599	Both
126	126	Both
469	469	Both
207	207	Both
236	236	Both
97	101	Dynamic
663	663	Both
214	214	Both
511	515	Dynamic
342	342	Both
154	154	Both
537	541	Dynamic
80	80	Both
356	364	Dynamic
687	692	Dynamic
517	517	Both
157	157	Both
226	226	Both
317	317	Both
526	556	Dynamic
374	378	Dynamic
276	295	Dynamic
329	350	Dynamic
347	364	Dynamic
471	483	Dynamic
347	349	Dynamic
354	364	Dynamic
340	340	Both
431	431	Both
650	651	Dynamic
408	410	Dynamic
159	159	Both
495	495	Both
161	161	Both
184	184	Both
162	178	Dynamic
314	322	Dynamic
536	536	Both
221	221	Both
299	315	Dynamic
587	587	Both
318	328	Dynamic
222	222	Both
281	281	Both
324	340	Dynamic
198	198	Both
231	231	Both
100	115	Dynamic
341	341	Both
255	255	Both
404	404	Both
238	239	Dynamic
434	434	Both
439	439	Both
103	103	Both
229	229	Both
579	579	Both
230	230	Both
350	360	Dynamic
665	665	Both
622	622	Both
482	482	Both
626	626	Both
253	253	Both
604	604	Both
479	479	Both
657	657	Both
103	103	Both
296	296	Both
473	473	Both
88	88	Both
380	380	Both
195	271	Dynamic
363	363	Both
281	281	Both
490	501	Dynamic
181	181	Both
412	412	Both
247	247	Both
331	331	Both
503	511	Dynamic
375	391	Dynamic
227	228	Dynamic
440	453	Dynamic
153	164	Dynamic
184	184	Both
383	394	Dynamic
174	174	Both
447	447	Both
502	502	Both
258	258	Both
182	182	Both
504	523	Dynamic
266	266	Both
121	121	Both
226	231	Dynamic
423	428	Dynamic
277	277	Both
53	55	Dynamic
175	175	Both
600	605	Dynamic
336	347	Dynamic
496	522	Dynamic
451	451	Both
262	262	Both
331	331	Both
255	255	Both
114	114	Both
368	368	Both
81	81	Both
486	486	Both
222	222	Both
190	262	Dynamic
507	507	Both
420	434	Dynamic
176	176	Both
429	429	Both
416	421	Dynamic
451	451	Both
82	82	Both
281	281	Both
232	232	Both
251	251	Both
385	385	Both
461	461	Both
132	132	Both
562	565	Dynamic
545	545	Both
320	320	Both
532	532	Both
500	500	Both
424	477	Dynamic
283	283	Both
248	248	Both
169	169	Both
534	552	Dynamic
409	429	Dynamic
83	90	Dynamic
203	203	Both
405	425	Dynamic
459	483	Dynamic
294	294	Both
183	186	Dynamic
190	190	Both
112	112	Both
394	412	Dynamic
526	526	Both
90	90	Both
173	173	Both
672	672	Both
387	387	Both
176	176	Both
178	178	Both
260	260	Both
367	392	Dynamic
311	311	Both
648	648	Both
289	289	Both
167	167	Both
494	494	Both
172	172	Both
304	304	Both
247	247	Both
514	514	Both
545	545	Both
676	676	Both
196	196	Both
260	266	Dynamic
345	362	Dynamic
282	282	Both
360	360	Both
272	272	Both
49	49	Both
184	184	Both
606	626	Dynamic
188	188	Both
316	316	Both
384	384	Both
212	212	Both
200	200	Both
237	238	Dynamic
146	166	Dynamic
498	517	Dynamic
302	331	Dynamic
277	277	Both
764	798	Dynamic
170	170	Both
93	93	Both
156	156	Both
258	267	Dynamic
103	103	Both
321	321	Both
652	652	Both
628	628	Both
109	109	Both
215	215	Both
339	346	Dynamic
79	79	Both
289	325	Dynamic
288	294	Dynamic
358	358	Both
194	194	Both
463	475	Dynamic
202	202	Both
323	323	Both
143	143	Both
244	244	Both
316	316	Both
148	168	Dynamic
121	121	Both
364	364	Both
580	580	Both
114	114	Both
289	289	Both
209	209	Both
594	594	Both
245	246	Dynamic
